               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093603,            0.027943,            0.032927,           0.0018548,             0.10173,           0.0013505,          0.00024793,            0.038095,            0.020611,            0.012601,              0.0937,              0.0007,              0.0007
                   1,            0.090793,            0.030124,            0.039314,           0.0027604,             0.28018,            0.029008,            0.008418,            0.028585,             0.01849,            0.011514,            0.086475,           0.0014752,           0.0014752
                   2,            0.065312,            0.028156,            0.027725,           0.0033083,             0.55748,            0.035742,            0.010117,            0.026357,            0.017481,            0.011681,            0.079224,           0.0022241,           0.0022241
                   3,            0.062629,            0.025183,            0.027468,           0.0032737,             0.86532,             0.12873,            0.039843,            0.023644,            0.015068,            0.011081,            0.071947,           0.0029465,           0.0029465
                   4,            0.057935,            0.024615,            0.029117,            0.050998,             0.78042,             0.24836,             0.07678,            0.021222,            0.013901,            0.010534,            0.064643,           0.0036426,           0.0036426
                   5,            0.046226,             0.02399,             0.02285,             0.26877,              0.4923,             0.30199,            0.074264,            0.022695,            0.012601,            0.010173,            0.057312,           0.0043123,           0.0043123
                   6,            0.044357,            0.021001,            0.022517,             0.15295,             0.39226,             0.16929,            0.056915,            0.019604,            0.011579,           0.0091811,            0.049955,           0.0049555,           0.0049555
                   7,            0.041514,            0.020348,            0.020288,              0.2263,             0.47049,             0.24553,            0.055621,            0.028218,           0.0090415,           0.0083099,            0.042572,           0.0055724,           0.0055724
                   8,            0.048278,              0.0203,            0.021271,              0.4392,             0.13805,             0.23696,            0.084959,            0.016434,           0.0091062,           0.0068838,            0.035163,           0.0061628,           0.0061628
                   9,             0.04225,            0.017938,            0.018107,              0.4345,              0.3292,              0.3864,             0.13852,            0.020923,            0.007998,           0.0051809,            0.027727,           0.0067268,           0.0067268
                  10,            0.046179,            0.020175,             0.02775,              0.2627,             0.22318,             0.28034,             0.10592,            0.022943,           0.0081549,           0.0050646,            0.020264,           0.0072645,           0.0072645
                  11,            0.043793,            0.018088,            0.019196,             0.25071,             0.43987,             0.20855,             0.10434,            0.018344,           0.0085837,           0.0045539,            0.012776,           0.0077757,           0.0077757
                  12,              0.0412,            0.019141,            0.021657,             0.41941,             0.52429,             0.41295,             0.19097,            0.016615,           0.0069215,           0.0032712,             0.00802,             0.00802,             0.00802
                  13,            0.039095,            0.017419,            0.025432,             0.15736,             0.30001,             0.16518,            0.044178,            0.029383,           0.0060225,           0.0033425,             0.00802,             0.00802,             0.00802
                  14,             0.04445,            0.016703,            0.022443,             0.47758,             0.60884,             0.56307,             0.26052,            0.017356,           0.0065589,           0.0033713,            0.007855,            0.007855,            0.007855
                  15,            0.037661,            0.016614,             0.01608,             0.54551,             0.66595,             0.58464,             0.24113,            0.020295,           0.0061747,           0.0036467,             0.00769,             0.00769,             0.00769
                  16,            0.038181,            0.016384,            0.015574,             0.61138,             0.74731,             0.74438,             0.31943,            0.014801,           0.0063653,            0.002638,            0.007525,            0.007525,            0.007525
                  17,             0.03368,            0.015795,            0.014711,             0.60156,             0.73064,             0.69137,              0.3126,            0.016531,           0.0049391,           0.0018112,             0.00736,             0.00736,             0.00736
                  18,            0.035923,            0.016252,            0.015861,              0.7223,             0.76454,             0.80774,             0.34961,            0.014419,           0.0061867,            0.002528,            0.007195,            0.007195,            0.007195
                  19,            0.034177,            0.014283,            0.015337,             0.75973,             0.83639,             0.88008,             0.43709,            0.013006,           0.0055916,           0.0021821,             0.00703,             0.00703,             0.00703
                  20,            0.031684,            0.015684,            0.012333,             0.80785,              0.8702,             0.95898,             0.48142,             0.01305,           0.0047124,           0.0015579,            0.006865,            0.006865,            0.006865
